day;region;team;elo
57;LEC;Origen;2667.8
58;LEC;G2 Esports;2655.4
58;LEC;MAD Lions;2653.6
58;LEC;SK Gaming;2466.7
58;LEC;Team Vitality;2460.7
58;LEC;Rogue;2639.3
58;LEC;Misfits Gaming;2683.6
58;LEC;Excel Esports;2595.3
58;LEC;Schalke 04;2495.0
58;LEC;Fnatic;2682.6
58;LEC;Origen;2667.8
59;LEC;G2 Esports;2668.0
59;LEC;MAD Lions;2666.0
59;LEC;SK Gaming;2454.1
59;LEC;Team Vitality;2448.3
59;LEC;Rogue;2661.2
59;LEC;Misfits Gaming;2658.5
59;LEC;Excel Esports;2573.4
59;LEC;Schalke 04;2481.5
59;LEC;Fnatic;2707.7
59;LEC;Origen;2681.3
60;LEC;G2 Esports;2679.0
60;LEC;MAD Lions;2634.5
60;LEC;SK Gaming;2442.3
60;LEC;Team Vitality;2437.3
60;LEC;Rogue;2637.6
60;LEC;Misfits Gaming;2670.3
60;LEC;Excel Esports;2604.9
60;LEC;Schalke 04;2470.8
60;LEC;Fnatic;2718.4
60;LEC;Origen;2704.9
61;LEC;G2 Esports;2679.0
61;LEC;MAD Lions;2634.5
61;LEC;SK Gaming;2442.3
61;LEC;Team Vitality;2437.3
61;LEC;Rogue;2637.6
61;LEC;Misfits Gaming;2670.3
61;LEC;Excel Esports;2604.9
61;LEC;Schalke 04;2470.8
61;LEC;Fnatic;2718.4
61;LEC;Origen;2704.9
62;LEC;G2 Esports;2679.0
62;LEC;MAD Lions;2634.5
62;LEC;SK Gaming;2442.3
62;LEC;Team Vitality;2437.3
62;LEC;Rogue;2637.6
62;LEC;Misfits Gaming;2670.3
62;LEC;Excel Esports;2604.9
62;LEC;Schalke 04;2470.8
62;LEC;Fnatic;2718.4
62;LEC;Origen;2704.9
63;LEC;G2 Esports;2679.0
63;LEC;MAD Lions;2634.5
63;LEC;SK Gaming;2442.3
63;LEC;Team Vitality;2437.3
63;LEC;Rogue;2637.6
63;LEC;Misfits Gaming;2670.3
63;LEC;Excel Esports;2604.9
63;LEC;Schalke 04;2470.8
63;LEC;Fnatic;2718.4
63;LEC;Origen;2704.9
64;LEC;G2 Esports;2679.0
64;LEC;MAD Lions;2634.5
64;LEC;SK Gaming;2442.3
64;LEC;Team Vitality;2437.3
64;LEC;Rogue;2637.6
64;LEC;Misfits Gaming;2670.3
64;LEC;Excel Esports;2604.9
64;LEC;Schalke 04;2470.8
64;LEC;Fnatic;2718.4
64;LEC;Origen;2704.9
65;LEC;G2 Esports;2679.0
65;LEC;MAD Lions;2634.5
65;LEC;SK Gaming;2442.3
65;LEC;Team Vitality;2437.3
65;LEC;Rogue;2637.6
65;LEC;Misfits Gaming;2670.3
65;LEC;Excel Esports;2604.9
65;LEC;Schalke 04;2470.8
65;LEC;Fnatic;2718.4
65;LEC;Origen;2704.9
66;LEC;G2 Esports;2705.9
66;LEC;MAD Lions;2648.5
